run_id,model_type,experiment_name,experiment_type,seed,width,depth,activation,n_features,features,epochs_pre,epochs_phys,w_data,w_cont,w_mom,wall_time_min,best_val,mae_uv_corrected,rmse_uv_corrected,l2_rel_uv_corrected,mae_p_corrected,rmse_p_corrected,l2_rel_p_corrected,mae_div_corrected,rmse_div_corrected,linf_div_corrected,rmse_div_error_vs_fine,improvement_mae_uv_pct,improvement_mae_p_pct,improvement_div_rmse_vs_coarse_pct,improvement_div_rmse_vs_fine_pct
mlp_base_k_epsilon_20260727_211435,mlp,mlp_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",,,,,,4.630460533299993,0.014895792033192605,0.7040123343467712,1.3043769598007202,0.029019813984632492,16.790321350097656,26.304447174072266,0.06575983017683029,122.2334496338448,465.66266471466844,19221.39280435,465.70548239758,88.29922498123136,94.11683108329775,-13688.511886914426,-8577.501907064345
mlp_base_k_epsilon_20260727_213239,mlp,mlp_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",,,,,,4.5515495098999965,0.014895792033192605,0.7040123343467712,1.3043769598007202,0.029019813984632492,16.790321350097656,26.304447174072266,0.06575983017683029,122.2334496338448,465.66266471466844,19221.39280435,465.70548239758,88.29922498123136,94.11683108329775,-13688.511886914426,-8577.501907064345
mlp_base_k_epsilon_20260728_022858,mlp,mlp_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",,,,,,4.7198829829000415,0.014895792033192605,0.7040123343467712,1.3043769598007202,0.029019813984632492,16.790321350097656,26.304447174072266,0.06575983017683029,122.2334496338448,465.66266471466844,19221.39280435,465.70548239758,88.29922498123136,94.11683108329775,-13688.511886914426,-8577.501907064345
mlp_base_k_epsilon_20260729_192246,mlp,mlp_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",,,,,,4.589816500233337,0.014895792033192605,0.7040123343467712,1.3043769598007202,0.029019813984632492,16.790321350097656,26.304447174072266,0.06575983017683029,122.2334496338448,465.66266471466844,19221.39280435,465.70548239758,88.29922498123136,94.11683108329775,-13688.511886914426,-8577.501907064345
mlp_base_k_epsilon_20260826_003112,mlp,mlp_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",,,,,,4.667418640066656,0.014895792033192605,0.7040123343467712,1.3043769598007202,0.029019813984632492,16.790321350097656,26.304447174072266,0.06575983017683029,122.2334496338448,465.66266471466844,19221.39280435,465.70548239758,88.29922498123136,94.11683108329775,-13688.511886914426,-8577.501907064345
mlp_base_k_epsilon_20260826_185718,mlp,mlp_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",,,,,,4.7078215115,0.014895792033192605,0.7040123343467712,1.3043769598007202,0.029019813984632492,16.790321350097656,26.304447174072266,0.06575983017683029,122.2334496338448,465.66266471466844,19221.39280435,465.70548239758,88.29922498123136,94.11683108329775,-13688.511886914426,-8577.501907064345
mlp_base_k_epsilon_20260728_172444,mlp,mlp_base,k_epsilon,123,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",,,,,,7.879083635550001,0.013804504255101178,0.7098470330238342,1.296966314315796,0.0288119874894619,16.518842697143555,26.568490982055664,0.06655997782945633,106.70300075949972,343.6370875747648,14062.981557515,343.67516546583664,88.22873890635412,94.19829757494183,-10075.271555671365,-6303.587207480344
mlp_base_k_epsilon_20260728_180551,mlp,mlp_base,k_epsilon,456,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",,,,,,5.39945478291667,0.012358909220804052,0.6617667078971863,1.192233920097351,0.026450028643012047,16.2376766204834,26.174875259399414,0.06607012450695038,103.29428303693268,384.39112433507233,17186.30949298,384.4612218193901,88.88647640717862,94.27966285053687,-11282.019622222011,-7063.028018404773
mlp_base_k_epsilon_20260729_184939,mlp,mlp_base,k_epsilon,456,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",,,,,,5.379329114183338,0.012358909220804052,0.6617667078971863,1.192233920097351,0.026450028643012047,16.2376766204834,26.174875259399414,0.06607012450695038,103.29428303693268,384.39112433507233,17186.30949298,384.4612218193901,88.88647640717862,94.27966285053687,-11282.019622222011,-7063.028018404773
pinn_cont_base_k_epsilon_20260725_205129,pinn,pinn_cont_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",1000.0,1000.0,1.0,0.0001,1e-05,12.580620994500002,0.9565158105522293,0.8359965085983276,1.475412368774414,0.03282501548528671,18.835859298706055,30.27062225341797,0.07567507028579712,2.343684663512095,4.180474142901028,321.86126962890626,6.691541678027113,86.10563112837886,93.40009404019656,-23.785997418644843,22.097958251205796
