model_type,experiment_name,experiment_type,width,depth,activation,features,w_cont,w_mom,wall_time_min_mean,wall_time_min_std,wall_time_min_min,wall_time_min_max,wall_time_min_count,best_val_mean,best_val_std,best_val_min,best_val_max,best_val_count,mae_uv_corrected_mean,mae_uv_corrected_std,mae_uv_corrected_min,mae_uv_corrected_max,mae_uv_corrected_count,rmse_uv_corrected_mean,rmse_uv_corrected_std,rmse_uv_corrected_min,rmse_uv_corrected_max,rmse_uv_corrected_count,l2_rel_uv_corrected_mean,l2_rel_uv_corrected_std,l2_rel_uv_corrected_min,l2_rel_uv_corrected_max,l2_rel_uv_corrected_count,mae_p_corrected_mean,mae_p_corrected_std,mae_p_corrected_min,mae_p_corrected_max,mae_p_corrected_count,rmse_p_corrected_mean,rmse_p_corrected_std,rmse_p_corrected_min,rmse_p_corrected_max,rmse_p_corrected_count,l2_rel_p_corrected_mean,l2_rel_p_corrected_std,l2_rel_p_corrected_min,l2_rel_p_corrected_max,l2_rel_p_corrected_count,mae_div_corrected_mean,mae_div_corrected_std,mae_div_corrected_min,mae_div_corrected_max,mae_div_corrected_count,rmse_div_corrected_mean,rmse_div_corrected_std,rmse_div_corrected_min,rmse_div_corrected_max,rmse_div_corrected_count,linf_div_corrected_mean,linf_div_corrected_std,linf_div_corrected_min,linf_div_corrected_max,linf_div_corrected_count,rmse_div_error_vs_fine_mean,rmse_div_error_vs_fine_std,rmse_div_error_vs_fine_min,rmse_div_error_vs_fine_max,rmse_div_error_vs_fine_count
mlp,mlp_base,k_epsilon,64,4,tanh,"x, y, Ux, Uy, p, Re_norm",,,5.050894591122227,0.949813047590155,4.368145688950002,7.879083635550001,12,0.01453764397861683,0.0012064199452666425,0.012358909220804052,0.01676306878115183,12,0.6961466789245605,0.018210937692247686,0.6617667078971863,0.7098470330238342,10,1.2812072873115539,0.04694997709356177,1.192233920097351,1.3043769598007202,10,0.028485074266791345,0.0010745189930455809,0.026450028643012047,0.029019813984632492,10,16.652644538879393,0.2345170000656951,16.2376766204834,16.790321350097656,10,26.304937171936036,0.10713153581736518,26.174875259399414,26.568490982055664,10,0.06590190380811692,0.00026477500753630093,0.06575983017683029,0.06655997782945633,10,118.01493385660261,8.272591655919044,103.29428303693268,125.02004237510786,12,440.54055499417944,43.49756559831474,343.6370875747648,465.66266471466844,12,18077.142457007707,1893.8289988301176,14062.981557515,19221.39280435,12,440.5864496044463,43.49190245167667,343.67516546583664,465.70548239758,12
pinn,pinn_cont_base,k_epsilon,64,4,tanh,"x, y, Ux, Uy, p, Re_norm",5e-05,1e-05,12.485316993766673,,12.485316993766673,12.485316993766673,1,0.7698714446244079,,0.7698714446244079,0.7698714446244079,1,0.7546238899230957,,0.7546238899230957,0.7546238899230957,1,1.3492103815078735,,1.3492103815078735,1.3492103815078735,1,0.030017269775271416,,0.030017269775271416,0.030017269775271416,1,17.58104705810547,,17.58104705810547,17.58104705810547,1,28.05704116821289,,28.05704116821289,28.05704116821289,1,0.07014123350381851,,0.07014123350381851,0.07014123350381851,1,2.878993115198053,,2.878993115198053,2.878993115198053,1,4.919714792521685,,4.919714792521685,4.919714792521685,1,276.8061243652344,,276.8061243652344,276.8061243652344,1,7.2144830888778735,,7.2144830888778735,7.2144830888778735,1
pinn,pinn_cont_base,k_epsilon,64,4,tanh,"x, y, Ux, Uy, p, Re_norm",7.5e-05,1e-05,13.102033203847915,1.2405945304273445,11.516305088149997,15.766358746400003,8,0.8991130657368238,0.0789552317832042,0.8179712319421645,1.017931287397838,8,0.7671763896942139,0.026906333489738966,0.7394837141036987,0.7915072441101074,6,1.3901070356369019,0.02440593170465848,1.36131751537323,1.4109032154083252,6,0.0308910155047973,0.0005851037127015556,0.030201196670532227,0.031389813870191574,6,17.84082285563151,0.2025317034309659,17.466230392456055,18.020687103271484,6,29.725261688232422,1.1154654596755833,28.97327423095703,31.163835525512695,6,0.07458897307515144,0.0031613457673822227,0.0724317654967308,0.0786631777882576,6,2.4835137926001107,0.10692366904089345,2.2491640196384797,2.5559264735831584,8,4.464635044753713,0.1461512795220113,4.339762456125806,4.725082338079259,8,249.35457692685546,106.57141398708177,188.2067949953125,502.5717703496094,8,6.9569455409790315,0.126318217292064,6.847080015976013,7.155288290339913,8
pinn,pinn_cont_base,k_epsilon,64,4,tanh,"x, y, Ux, Uy, p, Re_norm",0.0001,1e-05,12.550994937905577,0.14678364142078187,12.391658001666656,12.680705817550066,3,0.9565158105522293,0.0,0.9565158105522293,0.9565158105522293,3,0.8359965085983276,0.0,0.8359965085983276,0.8359965085983276,3,1.475412368774414,0.0,1.475412368774414,1.475412368774414,3,0.03282501548528671,0.0,0.03282501548528671,0.03282501548528671,3,18.835859298706055,0.0,18.835859298706055,18.835859298706055,3,30.27062225341797,0.0,30.27062225341797,30.27062225341797,3,0.07567507028579712,0.0,0.07567507028579712,0.07567507028579712,3,2.343684663512095,0.0,2.343684663512095,2.343684663512095,3,4.180474142901028,0.0,4.180474142901028,4.180474142901028,3,321.86126962890626,0.0,321.86126962890626,321.86126962890626,3,6.691541678027112,0.0,6.691541678027113,6.691541678027113,3
pinn,pinn_cont_mom_base,k_epsilon,64,4,tanh,"x, y, Ux, Uy, p, Re, nut_log",7.5e-05,1e-06,18.77274474650003,,18.77274474650003,18.77274474650003,1,0.8011130149265685,,0.8011130149265685,0.8011130149265685,1,0.7517611384391785,,0.7517611384391785,0.7517611384391785,1,1.3688700199127197,,1.3688700199127197,1.3688700199127197,1,0.03045465797185898,,0.03045465797185898,0.03045465797185898,1,19.020061492919922,,19.020061492919922,19.020061492919922,1,31.75202751159668,,31.75202751159668,31.75202751159668,1,0.07937851548194885,,0.07937851548194885,0.07937851548194885,1,2.4226238591193816,,2.4226238591193816,2.4226238591193816,1,5.608483824996031,,5.608483824996031,5.608483824996031,1,562.7174708007813,,562.7174708007813,562.7174708007813,1,7.8196151981231194,,7.8196151981231194,7.8196151981231194,1
pinn,pinn_cont_mom_base,k_epsilon,64,4,tanh,"x, y, Ux, Uy, p, Re, nut_log",7.5e-05,5e-05,20.242668136116723,,20.242668136116723,20.242668136116723,1,1.0850538801612322,,1.0850538801612322,1.0850538801612322,1,0.8775237798690796,,0.8775237798690796,0.8775237798690796,1,1.6008741855621338,,1.6008741855621338,1.6008741855621338,1,0.03561629354953766,,0.03561629354953766,0.03561629354953766,1,24.220603942871094,,24.220603942871094,24.220603942871094,1,40.345584869384766,,40.345584869384766,40.345584869384766,1,0.10086198896169662,,0.10086198896169662,0.10086198896169662,1,2.6800353198788036,,2.6800353198788036,2.6800353198788036,1,5.646775341547354,,5.646775341547354,5.646775341547354,1,235.16556776809693,,235.16556776809693,235.16556776809693,1,7.895749710809041,,7.895749710809041,7.895749710809041,1
pinn,pinn_mom_base,k_epsilon,64,4,tanh,"x, y, Ux, Uy, p, Re, nut_log",7.5e-05,1e-05,12.08133523685004,,12.08133523685004,12.08133523685004,1,0.8440468480275364,,0.8440468480275364,0.8440468480275364,1,0.7521554231643677,,0.7521554231643677,0.7521554231643677,1,1.3335098028182983,,1.3335098028182983,1.3335098028182983,1,0.029667964205145836,,0.029667964205145836,0.029667964205145836,1,20.061763763427734,,20.061763763427734,20.061763763427734,1,32.41099166870117,,32.41099166870117,32.41099166870117,1,0.08102589845657349,,0.08102589845657349,0.08102589845657349,1,98.17216206949647,,98.17216206949647,98.17216206949647,1,310.1233559312434,,310.1233559312434,310.1233559312434,1,8973.7230056275,,8973.7230056275,8973.7230056275,1,310.1756579551013,,310.1756579551013,310.1756579551013,1
