epoch,loss_total,loss_val,lr
1,0.7500923649937499,0.6799481620382322,0.001
2,0.6313515445765328,0.5888844831494612,0.001
3,0.5371040438904482,0.510033123604278,0.001
4,0.48039596513205884,0.47610035424212416,0.001
5,0.454254172596277,0.4557658350473212,0.001
6,0.4376690171512903,0.4420806882851687,0.001
7,0.42500924012240243,0.42959513451361997,0.001
8,0.41267877758718,0.41853075491314273,0.001
9,0.40150688325657563,0.406979070123536,0.001
10,0.39021867513656616,0.39270552715309637,0.001
11,0.3767790058079888,0.37894548240450454,0.001
12,0.36346884802276014,0.3644674693275589,0.001
13,0.3509257932504018,0.35334201878967575,0.001
14,0.3372454730903401,0.33962405220937725,0.001
15,0.32483266206348643,0.32584220783079293,0.001
16,0.31236184928931443,0.3134413432487536,0.001
17,0.29968733325892805,0.30059251476026266,0.001
18,0.28700392737108116,0.289122994704856,0.001
19,0.274018145367211,0.2791839951738376,0.001
20,0.2627333688969706,0.26184049525218894,0.001
21,0.25031470317466586,0.25212543532235027,0.001
22,0.2388666140682557,0.24073274865631444,0.001
23,0.23059206616644765,0.22860775676376283,0.001
24,0.2191928768274831,0.22400047089591607,0.001
25,0.21000287988606622,0.21213920576757214,0.001
26,0.2012483007183262,0.20418231222483146,0.001
27,0.19467456434287278,0.19376512713878227,0.001
28,0.1873902070756052,0.1874126746110391,0.001
29,0.17989031123180016,0.1801900348968059,0.001
30,0.174870683574209,0.17586303649150295,0.001
31,0.16927390034292258,0.17120187866895958,0.001
32,0.16387071767274072,0.16691974500982962,0.001
33,0.15997060753551184,0.16135639601394214,0.001
34,0.15422591683911344,0.15651397622298835,0.001
35,0.15130320600434846,0.15479939611112084,0.001
36,0.1486220462065117,0.15311304947433751,0.001
37,0.14422687479093962,0.14510740786489634,0.001
38,0.13960788676551744,0.14135414118909312,0.001
39,0.1373081480463346,0.1392934781346718,0.001
40,0.13492138581533059,0.13848373486850563,0.001
41,0.13170183070150077,0.13253223105169343,0.001
42,0.12989050485924178,0.13156590501392332,0.001
43,0.1265736850453358,0.12981915336466296,0.001
44,0.1249325316326291,0.12982951634430398,0.001
45,0.12149045221945819,0.12274926802401523,0.001
46,0.12108624127565645,0.12436686246786273,0.001
47,0.11807266608172771,0.12043669954242031,0.001
48,0.11643321929024715,0.1170080013104808,0.001
49,0.11313115703124627,0.1184394991178219,0.001
50,0.11241144146405015,0.11421465568159772,0.001
51,0.11050203062740027,0.11193342398300668,0.001
52,0.10954393358791575,0.11068623770273645,0.001
53,0.10818078237421372,0.11069046595475267,0.001
54,0.1069912913383222,0.11142866244375989,0.001
55,0.10628810787902158,0.10840554898671721,0.001
56,0.10326374117650237,0.10470572144803404,0.001
57,0.10210025631913952,0.10491459361343966,0.001
58,0.10087279975414276,0.10374294223722037,0.001
59,0.09952827177795709,0.10369069111032357,0.001
60,0.0989237522669867,0.0976751831220017,0.001
61,0.09683418346970689,0.10053387659066998,0.001
62,0.09628343100056928,0.0960388660310423,0.001
63,0.09478032252952165,0.09591300450108628,0.001
64,0.093739934703883,0.09620579352087152,0.001
65,0.09214668779396544,0.09281078866462993,0.001
66,0.09251516589931413,0.09416858588076572,0.001
67,0.09119766833735447,0.09520549955608855,0.001
68,0.09042304053026087,0.08979106709446502,0.001
69,0.08829246797398024,0.09099298695197822,0.001
70,0.08768505223241507,0.08809198682412565,0.001
71,0.0869785905176518,0.08827935877179958,0.001
72,0.08584959556659062,0.08702723517839646,0.001
73,0.08481536206661486,0.08588232545311544,0.001
74,0.08414192862954795,0.08528216873506794,0.001
75,0.08342093170857896,0.08388436389654015,0.001
76,0.08182944109042485,0.08363067803861023,0.001
77,0.08095813411123612,0.08254346321260542,0.001
78,0.08042586492557152,0.08193969544847043,0.001
79,0.07923161369912765,0.08302360453454986,0.001
80,0.07915139066822388,0.08095127110469096,0.001
81,0.07753010751569972,0.0794381364188975,0.001
82,0.07730806078396592,0.07921028623394635,0.001
83,0.07686527555479723,0.07739112029991468,0.001
84,0.07597071845449653,0.07688637478668726,0.001
