epoch,loss_data,loss_val,lr
1,5.724156688241398,5.704013708955066,0.001
2,5.41253802355598,5.35090754748489,0.001
3,5.034729349846933,5.054429427740821,0.001
4,4.798586340511546,4.890478225771466,0.001
5,4.636087501750273,4.736315525845757,0.001
6,4.4812109610613655,4.576005381484208,0.001
7,4.322417665930355,4.393962652793788,0.001
8,4.140217154633765,4.213364014921193,0.001
9,3.9534443593492696,4.057737711240153,0.001
10,3.784985532947615,3.8342807820466103,0.001
11,3.586753531998279,3.6811168578974898,0.001
12,3.410503892337575,3.46288254744775,0.001
13,3.2481274417802397,3.357765087365717,0.001
14,3.0793237779654707,3.1431067822550505,0.001
15,2.9376758968128875,2.9737252243139456,0.001
16,2.7803396009931376,2.8510418703333498,0.001
17,2.6721278078415813,2.7643996256658823,0.001
18,2.5261976672153845,2.557970068779223,0.001
19,2.4127988160825242,2.4720577668032844,0.001
20,2.303518164391611,2.329272243529968,0.001
21,2.1588866523667876,2.2312495706016366,0.001
22,2.0765587325189627,2.1167875461614396,0.001
23,1.9943475325902302,1.9956764168478123,0.001
24,1.893889586130778,1.9226892575017698,0.001
25,1.820162810531317,1.8846530923866454,0.001
26,1.739137939378327,1.7413059001802138,0.001
27,1.6760179715998031,1.6991399206816369,0.001
28,1.6253601967119704,1.6424773152378527,0.001
29,1.5480407149183983,1.5732177624855885,0.001
30,1.5030256603278367,1.5245273250564413,0.001
31,1.472740224763459,1.5094104732888616,0.001
32,1.430403192838033,1.467639988955705,0.001
33,1.4205558206520827,1.4206525162531463,0.001
34,1.3419849007737403,1.366923657074187,0.001
35,1.3323457100812126,1.4164906275273554,0.001
36,1.323704670457279,1.3229317675449979,0.001
37,1.2561241622064627,1.2849376803028791,0.001
38,1.2335690108000064,1.2754237702152231,0.001
39,1.225573039522358,1.214643188849727,0.001
40,1.1897348072014602,1.2130781235821138,0.001
41,1.1649120157840205,1.187437105333686,0.001
42,1.1528228100608378,1.177888096802972,0.001
43,1.1450393714156806,1.1759526733929109,0.001
44,1.125201497592178,1.1810199136260284,0.001
45,1.0959253848767747,1.1060735524465104,0.001
46,1.0941737761684494,1.1451863266662705,0.001
47,1.0705872084580215,1.128863545872327,0.001
48,1.051513587727266,1.1080509692397906,0.001
49,1.0263925416796815,1.0782828217698015,0.001
50,1.0180376300624772,1.0681121602077215,0.001
51,1.0174803301399828,1.0437710408911292,0.001
52,1.0065309919562995,1.02798335274981,0.001
53,0.9848339136909036,1.0266691649312087,0.001
54,0.9805671689557094,0.9842501757423585,0.001
55,0.9536721379149193,0.9864882014872804,0.001
56,0.945683548263475,0.9927220686089507,0.001
57,0.9430968364079794,0.9590921643975122,0.001
58,0.9192273581729216,0.9475823851494783,0.001
59,0.9224496588987463,1.0154034987664322,0.001
60,0.9305066805259854,0.9161222195551829,0.001
61,0.891857250064027,0.9423298064727813,0.001
62,0.8967644408637402,0.8949350282615532,0.001
63,0.8799338609564538,0.9504599787311406,0.001
64,0.8691577116648356,0.888833415892638,0.001
65,0.853361774893368,0.8890842655786887,0.001
66,0.8660536946034899,0.8550492047544589,0.001
67,0.8575516740481058,0.8685340707374859,0.001
68,0.8320118971899444,0.8781698080892689,0.001
69,0.8172849697225234,0.8485740422451951,0.001
70,0.8099086226201525,0.8548740234069085,0.001
71,0.8294691934305078,0.8584425297836449,0.001
72,0.8023662625574598,0.87183750325581,0.001
73,0.8014004534366084,0.8322622521076809,0.001
74,0.7884656833667382,0.8195455658169964,0.001
75,0.776585062344869,0.7954213056625324,0.001
76,0.7644127361914691,0.7985556323236676,0.001
77,0.7604420500643113,0.7837937437492917,0.001
78,0.7591556848264208,0.7836382047285533,0.001
79,0.7388229884353339,0.8000475208956114,0.001
80,0.7328376127224342,0.7481475358818841,0.001
81,0.7212306506493512,0.7634459311316564,0.001
82,0.7178010227633458,0.7500229581361437,0.001
83,0.7220707991543938,0.7307695816876056,0.001
84,0.7061687497531667,0.7431896960960095,0.001
85,0.7039009239159378,0.7494977648596279,0.001
86,0.7012328376957014,0.7285763701186303,0.001
87,0.6957588382795745,0.7243698535700436,0.001
88,0.6947115893457451,0.7131026348402609,0.001
89,0.6889051502826167,0.6898010998038944,0.001
90,0.6851437781371322,0.6866841164964779,0.001
91,0.6754254406573725,0.6940190774030705,0.001
92,0.6802827844432756,0.7090498947119915,0.001
93,0.6742722824508068,0.6918718227000353,0.001
94,0.6697617558871999,0.6850472621163685,0.001
95,0.65178817393733,0.6893509525457465,0.001
96,0.6465828710911321,0.6661266262814045,0.001
97,0.6512693108296862,0.6656970777619677,0.001
98,0.6409243964681438,0.6836604081040195,0.001
99,0.6342097643543693,0.6613356279292645,0.001
100,0.6225186311731151,0.6640472776409361,0.001
101,0.6297757380148944,0.6726298886644013,0.001
102,0.6188282802993176,0.634963910116781,0.001
103,0.6140865812114641,0.6503729855567468,0.001
104,0.6199487307492424,0.6441614622702698,0.001
105,0.6032050187681236,0.6405635139840014,0.001
106,0.6106615142495024,0.6373589117026026,0.001
107,0.6058874399054284,0.6178831035899576,0.001
108,0.6006196620417577,0.6444528046068924,0.001
109,0.6115232729444317,0.6213079820622759,0.001
110,0.5948037160377876,0.6260544714216771,0.001
111,0.5851187928050172,0.6373716758979332,0.001
112,0.5840351125773262,0.6020418046565804,0.001
113,0.5847631225398943,0.6249736190162202,0.001
114,0.5814340400929544,0.5889608995788918,0.001
115,0.5664500740228915,0.6000715376514878,0.001
116,0.5571315943026075,0.5998875364361484,0.001
117,0.5698277254899343,0.5876885068445433,0.001
118,0.5597672655301935,0.5881568711996276,0.001
119,0.563350656453301,0.6185034879235122,0.001
120,0.5658363372671837,0.5680184398489254,0.001
121,0.545638805510951,0.5854692960127561,0.001
122,0.5405940682280297,0.5617409366955675,0.001
123,0.5429001006425596,0.5588094125184457,0.001
124,0.5273221018267613,0.5504936792150732,0.001
125,0.5303000381179884,0.5574413394107889,0.001
126,0.5312383169052648,0.593740671554103,0.001
127,0.5276986261208853,0.562544266169535,0.001
128,0.5323176196977204,0.5441581165039598,0.001
129,0.5206231299568626,0.5343169231919174,0.001
130,0.5189214857185588,0.5478644136224743,0.001
131,0.5132184648046306,0.5344354889598824,0.001
132,0.5080619997837964,0.5483906995658787,0.001
133,0.507577893780727,0.5554743113691418,0.001
134,0.5081816192935494,0.5240015422949857,0.001
135,0.5087259429342607,0.5281797178097273,0.001
136,0.4900932481475905,0.5117687944247644,0.001
137,0.49232083968087736,0.5105773713087259,0.001
138,0.4832899973672979,0.5210710164981329,0.001
139,0.49117935054442463,0.511192287192152,0.001
140,0.49038365307976217,0.514835439532779,0.001
141,0.4898020280342476,0.5069316686943811,0.001
142,0.4814409566860573,0.5024557127197113,0.001
143,0.4752860525075127,0.513851470998146,0.001
144,0.4730854285698311,0.5076543570560303,0.001
145,0.4829357617041644,0.5042099008053905,0.001
146,0.48384903868039447,0.48943551589611745,0.001
147,0.4626517874353072,0.5064348924798773,0.001
148,0.46433909441910537,0.5020112479132441,0.001
149,0.455202568395465,0.5104029421249022,0.001
150,0.4801711083627215,0.508175287327449,0.001
151,0.4542963592445149,0.4882314027128034,0.001
152,0.4492643750181385,0.48379495908517417,0.001
153,0.4480874000811109,0.47332892219363826,0.001
154,0.4506812037206164,0.47216677680721725,0.001
155,0.4483550599977082,0.471373449157372,0.001
156,0.44199859277874815,0.4681913660626314,0.001
157,0.44590886842970756,0.45512181547126807,0.001
158,0.4332383859391306,0.4752874405360283,0.001
159,0.4345102660796222,0.4596974181383083,0.001
160,0.43404850772782866,0.46799901632174395,0.001
161,0.43266696672813565,0.4549983187358912,0.001
162,0.4319756258936489,0.4596994307870976,0.001
163,0.4307601983640708,0.46792134812169184,0.001
164,0.4249047298057407,0.4488466127565779,0.001
165,0.41987746252733116,0.4517181408698814,0.001
166,0.42156966644174915,0.4408106928606151,0.001
167,0.41697245310334596,0.45947293733220795,0.001
168,0.4134685864635542,0.4509211958539049,0.001
169,0.415018791661543,0.4377109104301487,0.001
170,0.4141618469182183,0.4474794635495549,0.001
171,0.41015859269628335,0.43611679518954016,0.001
172,0.4084107016815859,0.4345940651711742,0.001
173,0.40946011099160884,0.43191818197548504,0.001
174,0.4081182812943178,0.4254560823030033,0.001
175,0.39548280017048704,0.4316600371960377,0.001
176,0.4098248779773712,0.4328224187572469,0.001
177,0.4020370876087862,0.4132700182435037,0.001
178,0.3984699062272614,0.4188243238961566,0.001
179,0.39263122864798006,0.43982409087398927,0.001
180,0.40091874786451753,0.42785440390131424,0.001
181,0.3987804674634747,0.42220419274570414,0.001
182,0.38726603751089056,0.4201548596667608,0.001
183,0.39698000339900746,0.41480892524728086,0.001
184,0.3882586698906094,0.42147536240953865,0.001
185,0.38560158481784895,0.4035483773629985,0.001
186,0.3805356084131727,0.44545164787181113,0.001
187,0.3846668034207587,0.404239893386231,0.001
188,0.37670160859238866,0.40058731786274915,0.001
189,0.37745099558549766,0.403866612271665,0.001
190,0.38668741665634454,0.4008337228163955,0.001
191,0.3740813773052365,0.3897266062984814,0.001
192,0.3767090170991187,0.40879336560337787,0.001
193,0.37320463914497226,0.3946541963548133,0.001
194,0.36739690455735896,0.4022570626614096,0.001
195,0.36779806894414563,0.391562790864662,0.001
196,0.36481719040403177,0.3857468540358702,0.001
197,0.3667299665656744,0.3802980486755758,0.001
198,0.3607879947213566,0.4066227954642082,0.001
199,0.3656286439474891,0.3782711762077083,0.001
200,0.36125471019277383,0.3973661556780194,0.001
201,0.3564874337000005,0.3744802859856823,0.001
202,0.35627856850624084,0.3750021579658495,0.001
203,0.358572311261121,0.36997436466220834,0.001
204,0.35079843331785765,0.38372170955557966,0.001
205,0.3560226507046643,0.3740101024969184,0.001
206,0.3502158528449489,0.37802564142617595,0.001
207,0.3514006920889312,0.37612812903125153,0.001
208,0.35135549365305435,0.3944864577563188,0.001
209,0.3525773818586387,0.37124572586111776,0.001
210,0.34617529546513276,0.3748428200136364,0.001
211,0.34550589264607895,0.3682263377970823,0.001
212,0.34252718792242165,0.38481530190130414,0.001
213,0.34270450472831726,0.38028271664333346,0.001
214,0.35969675522224576,0.36331934092528906,0.001
215,0.3433469130712397,0.41280903692814647,0.001
216,0.3461282188985862,0.3596770846097501,0.001
217,0.3365178160807666,0.3534088808929967,0.001
218,0.3314259788569282,0.36686992659879913,0.001
219,0.3358434304302814,0.37047193105847237,0.001
220,0.33780518524787007,0.3550581537942848,0.001
221,0.32688649962930116,0.34750317298074634,0.001
222,0.3283226116030824,0.3573007182698563,0.001
223,0.3323776628456864,0.3771639204358677,0.001
224,0.33571985831447676,0.343693872486403,0.001
225,0.32269588872498156,0.34055103724198066,0.001
226,0.3205983714730132,0.3715792913700298,0.001
227,0.32068631345150517,0.3403381730684779,0.001
228,0.3192600701369491,0.345403540617161,0.001
229,0.3197350572137272,0.3405846526973009,0.001
230,0.31832125549222906,0.34260319963650127,0.001
231,0.31541864106468126,0.33315883281236697,0.001
232,0.3136284439002766,0.3368324642469455,0.001
233,0.3118951642045788,0.33299698048906473,0.001
234,0.3113021873960308,0.3352684659275584,0.001
235,0.3106200250924802,0.34667592666951613,0.001
236,0.3239755303251977,0.3453012886722713,0.001
237,0.31097135444482166,0.3387918846130087,0.001
238,0.31156396281485466,0.3414340586138794,0.001
239,0.3129608975905998,0.32580229559321405,0.001
240,0.3102012603890662,0.327106537787148,0.001
241,0.3112236392848632,0.3426065848394105,0.001
242,0.3131115676141253,0.32548228902798126,0.001
243,0.30760160380718754,0.32450898663165,0.001
244,0.3059394260247548,0.32943974308968066,0.001
245,0.3045000685196297,0.31512942151631124,0.001
246,0.29639552913460077,0.33228523092185835,0.001
247,0.30549770184591707,0.32879070854133285,0.001
248,0.3088744320705825,0.35452880818528526,0.001
249,0.3050106793057685,0.31152831800977016,0.001
250,0.29717779977648867,0.31748197850165955,0.001
251,0.29126465846510496,0.3181203438185925,0.001
252,0.29675302669113757,0.31114254240906414,0.001
253,0.2934906836233887,0.30993409831635216,0.001
254,0.2885521606487386,0.3062520180157158,0.001
255,0.28665530915353815,0.31629726097630145,0.001
256,0.29796505324980793,0.3080183950883002,0.001
257,0.286805637326895,0.30039727694551266,0.001
258,0.29194873483741984,0.3252270442020444,0.001
259,0.29120633619673114,0.31215164182587246,0.001
260,0.3023674067328958,0.3300801905299622,0.001
261,0.2909075585650463,0.30328157615143336,0.001
262,0.28646760974444596,0.30985176668736913,0.001
263,0.2878262435688692,0.3091778763839224,0.001
264,0.28036899981545466,0.3065247482040252,0.001
265,0.28577738591268953,0.29862650210804376,0.001
266,0.28495502910193277,0.3155246453469777,0.001
267,0.2825372856037289,0.3144829539516027,0.001
268,0.2878117321753034,0.3344442294543601,0.001
