epoch,loss_total,loss_data,loss_cont,loss_mom,val_score,val_data,val_cont,val_mom,norm_data,norm_cont,norm_mom,lr
1,0.08953858441428135,0.030081924933351968,,5945.666015625,1.4248375673074778,0.024293845559235465,0.0,5426.680250632596,1.7061695517254156,0.0,0.7683962703322902,0.001
2,0.0690504241930811,0.018475533512077834,,5057.489180715461,1.1539249181595141,0.01928279735610883,0.0,4848.446832535696,1.3542410007038672,0.0,0.6865207255560238,0.001
3,0.06278946799667258,0.01748072042276985,,4530.8748972039475,1.1627409884171829,0.019821397846860742,0.0,4432.656707991211,1.3920671964629792,0.0,0.6276465029769919,0.001
4,0.05911749542543763,0.01759718280089529,,4152.031339946546,1.141504887011785,0.019691562920939154,0.0,4082.9943405683807,1.3829488213248067,0.0,0.5781357069480676,0.001
5,0.05655725731661445,0.01807748496924576,,3847.9773206208883,1.1557299084506385,0.020210738133004696,0.0,3817.018335424511,1.4194107695444482,0.0,0.5404745658984162,0.001
6,0.05467756210189117,0.018578461126277323,,3609.910220497533,1.1731668466595575,0.02075348481926995,0.0,3599.3749268961565,1.4575281547952823,0.0,0.5096571276761994,0.001
7,0.053154910473447094,0.019144793874339053,,3401.0117701480262,1.1510514766345203,0.020476435469368105,0.0,3399.3870662116947,1.4380708332289915,0.0,0.4813396445807543,0.001
8,0.051340416858070774,0.018942382088617274,,3239.8035695929275,1.1225777692752936,0.020014329449280034,0.0,3263.8855274874336,1.4056168843792363,0.0,0.46215316736609413,0.001
9,0.04927255879891546,0.018482873412339312,,3078.9686086554275,1.1205893495577757,0.02006556356081504,0.0,3157.781814006347,1.409215082980507,0.0,0.44712930490473596,0.001
10,0.048283960866300685,0.018694115116407995,,2958.9846319901317,1.1179095094057185,0.020157886739590257,0.0,2987.84826049744,1.4156989883861253,0.0,0.42306739178477,0.001
11,0.0472305828803464,0.018799001841168655,,2843.1581902754933,1.1446790449070017,0.02076727150981902,0.0,2912.7836792708176,1.4584964013240802,0.0,0.41243854660048473,0.001
12,0.04648893169666592,0.018824390282756405,,2766.4542043585525,1.1339297735759817,0.020630354961843848,0.0,2818.189052655737,1.448880680144286,0.0,0.3990443249166053,0.001
13,0.045770356333569476,0.019060598882405383,,2670.9757786800988,1.129617807872946,0.020625437228674798,0.0,2722.371776076811,1.4485353051571896,0.0,0.38547698087637705,0.001
14,0.044818666812620665,0.018995758440149457,,2582.2908614309213,1.1151185657390883,0.020400882723501157,0.0,2640.923260914899,1.4327647241474497,0.0,0.37394419611957835,0.001
15,0.04417889290734341,0.019142870056001765,,2503.6023720189146,1.1365435364487937,0.020880907341409766,0.0,2589.7519444360305,1.4664771055469825,0.0,0.36669854188635315,0.001
16,0.04388945843828352,0.019456407545428527,,2443.30517578125,1.1631305526199684,0.02147090015428324,0.0,2532.833256491777,1.5079126111200751,0.0,0.3586390827863862,0.001
17,0.042906872732074636,0.019117190159465138,,2378.9683388157896,1.1067476315928801,0.02039157972406388,0.0,2454.6283228755033,1.4321113696037693,0.0,0.34756557623413925,0.001
18,0.04255905433704978,0.0193083832334531,,2325.067202919408,1.107921734573457,0.020468481859403902,0.0,2393.268043688721,1.4375122470177581,0.0,0.3388772055367547,0.001
19,0.04173210126004721,0.019100670849806385,,2263.143130653783,1.1014541722632096,0.02037232933366544,0.0,2352.292958022278,1.430759404560748,0.0,0.333075296902287,0.001
20,0.041002515899507624,0.01889472474393092,,2210.7792262027137,1.1428745010996275,0.021263251831611162,0.0,2296.2970272268617,1.4933293601997502,0.0,0.3251464965326748,0.001
