epoch,loss_total,loss_data,loss_cont,loss_mom,val_score,val_data,val_cont,val_mom,norm_data,norm_cont,norm_mom,lr
1,7.558336893717448,1.8336632986571275,76328.97794117648,,8.534660150563461,1.67734349052455,37643.495042012546,,12.12540193421852,0.15626265536832737,,0.001
2,3.6556493347766352,1.4190613709244073,29821.171185661766,,6.613134463898713,1.3003700075548679,26445.92969034778,,9.400286282372983,0.10978022079208334,,0.001
3,2.7418420642030004,1.2487500204759485,19907.89292279412,,6.24156666628855,1.2290068751329235,18052.741735349977,,8.884407055017869,0.07493909258680767,,0.001
4,2.2474327344520417,1.1525598296932145,14598.304668351715,,5.720464896976312,1.1267016108279302,15313.469331335744,,8.144849262179285,0.06356804483604173,,0.001
5,1.9864956047020705,1.0833170495781244,12042.380170036764,,5.377643220541323,1.0595355512615732,12949.0750740229,,7.659310388847471,0.05375316116031021,,0.001
6,1.7883453836628036,1.019488097405901,10251.429993872549,,5.233096391497356,1.0313742749555197,11308.020510854449,,7.4557344390670846,0.04694094716799057,,0.001
7,1.6499904066908593,0.9656374957047257,9124.705039828432,,4.988996157329927,0.9833916920958581,10267.131814449695,,7.108871613234438,0.04262009355273637,,0.001
8,1.5276253784404081,0.9210599216760373,8087.539043351716,,4.8177552112903355,0.9498372318833384,9105.268910595456,,6.866308704050399,0.03779706151685364,,0.001
9,1.4687780235327927,0.8957461913426717,7640.424029181985,,4.501369719754772,0.887523014032608,8254.234527777002,,6.415843464268017,0.0342643158905366,,0.001
10,1.3754149792241115,0.8540949143615424,6950.933842677696,,4.325704904716884,0.8528799053317222,7963.596056832397,,6.165410789254207,0.03305784079646504,,0.001
11,1.287622376984241,0.817842328080944,6263.733666513481,,4.1654239291900685,0.8214015571861787,7166.550003805672,,5.937855952903655,0.02974920719170021,,0.001
12,1.2246160811068965,0.7870887891919005,5833.696978400735,,3.9750516094605075,0.7839413901962137,6512.572748307771,,5.667058955245039,0.027034469296599344,,0.001
13,1.1632666681327073,0.7554367266449273,5437.7322686887255,,3.7812096042499803,0.7456272831453609,6542.320029323735,,5.390088883004808,0.027157953822049347,,0.001
14,1.110311510516148,0.7302733168882483,5067.175728592219,,3.7101264620741636,0.7317981167753234,5655.755676663933,,5.290118780518857,0.02347771903654638,,0.001
