epoch,loss_total,loss_data,loss_cont,loss_mom,val_score,val_data,val_cont,val_mom,norm_data,norm_cont,norm_mom,lr
1,5.664578011161403,0.36772012671357707,70531.48622532895,6996.177682976973,22.61792218707739,0.53098815559855,32905.119124120814,6847.465960112679,37.29157745734817,0.24530470566683485,0.9695738576756109,0.001
2,2.2469284095262227,0.501774466351459,23181.600071957237,6533.8189504523025,19.66870844207133,0.4619570220070196,17174.99296047849,6250.5311683528125,32.443484636152796,0.12803802888869514,0.8850502730095724,0.001
3,1.3883660592530902,0.4309292388589759,12687.973838404605,5838.754368832237,17.493041079106664,0.41088051138347037,11641.57932757279,5715.946228482422,28.85635442978863,0.08678692758033449,0.8093551785870965,0.001
4,1.0382654792384098,0.3866249950308549,8616.755602384868,5383.772897820723,16.006653429097867,0.37598393441953126,8443.39146816983,5322.7064634088565,26.405549474675993,0.06294472453105288,0.7536739969302907,0.001
5,0.8427316326844064,0.354384731305273,6443.581748560855,5078.251336348684,15.001049953959633,0.35229822168744623,6682.987340705463,5149.5834288149135,24.742089411267642,0.04982106998011784,0.7291604660151264,0.001
6,0.7215412478697928,0.3348447554989865,5090.598709909539,4901.57177734375,14.219478666481304,0.3339322580591041,5383.364025443244,4947.501427272452,23.452238125501918,0.04013249497069146,0.7005464609300819,0.001
7,0.6398139595985413,0.3175708447632037,4233.141614412007,4757.482781661184,13.581868775448308,0.3188951768989129,4549.662482078394,4851.11504035371,22.396176006403245,0.033917324895249144,0.6868985331365598,0.001
8,0.581667278942309,0.3039388938954002,3640.594122635691,4683.819284539473,13.053203873286074,0.30642933003920686,3996.887254650686,4761.037107239164,21.52069302464794,0.029796435256388292,0.6741438572301637,0.001
9,0.5336112630994696,0.2902174795928754,3183.9982781661183,4593.905042146382,12.587297643916598,0.2954434954494353,3620.8956072745023,4675.54502182242,20.749152083068417,0.026993451318086947,0.6620385190596499,0.001
10,0.5002209732407018,0.2801617532968521,2873.9019325657896,4516.557334498355,12.188966951476228,0.28605018827061685,3247.633437547571,4606.474469089404,20.08945517919923,0.024210815390344333,0.6522584043931092,0.001
11,0.4705678648070285,0.2717236249070418,2591.9250231291117,4449.852282072368,11.830199002132515,0.2775866206087641,2970.8437796832673,4545.9227699153125,19.49505437063183,0.022147373367906707,0.6436845253991826,0.001
