epoch,loss_total,loss_data,loss_cont,loss_mom
1,1.1262498686188145,0.4130954301278842,63299.92403371711,8015.521484375
2,0.5691386022065815,0.35395097575689616,15249.560649671053,6269.202688116777
3,0.41879874938412714,0.2757592067906731,9177.274208470395,5126.680201480263
4,0.35424541485937017,0.2413164988944405,6663.251130756579,4629.641370271382
5,0.3204884482057471,0.22072871970502952,5691.6133840460525,4284.35941354852
6,0.29830924147053767,0.2078145726730949,4977.937088815789,4071.5304790296054
7,0.27943580166289683,0.1960296913197166,4468.4354440789475,3872.1760767886512
8,0.26694738002199875,0.18847048910040604,4119.2095369037825,3728.4794022409537
9,0.2546760863379428,0.18123295981633036,3773.3179096422696,3570.9947317023025
10,0.24445177144125887,0.17531124698488335,3468.4255499588817,3445.627017372533
11,0.23615851684620506,0.1701309947591079,3259.1121376439146,3343.6403680098683
12,0.22736242021384992,0.1640377279959227,3086.7795153166117,3245.6898386101975
13,0.220517214975859,0.15975054000553332,2913.232306229441,3163.4353926809213
14,0.21358033779420352,0.15502361796404185,2782.2368292557567,3073.4351999383225
15,0.2077732878295999,0.1505921557545662,2692.7767783717104,3025.336554276316
16,0.20219665452053673,0.14707867330626437,2573.3307976973683,2938.4675035978617
17,0.19763660117199547,0.14430243992491773,2436.8269171463817,2896.589239823191
18,0.19310645994387174,0.14114792958686226,2361.9476832339637,2833.9057745682567
19,0.18997081722083844,0.13931675843502345,2279.532342208059,2785.8737407483554
20,0.18557704593005933,0.1356567018910458,2253.152716385691,2738.8819130345396
21,0.18150491306656286,0.13347510483704114,2118.0784076891446,2684.902652138158
22,0.17785034132631203,0.13079167314265905,2073.1410104851975,2632.7256373355262
23,0.17528962539999107,0.12931845141084572,1999.3544407894738,2597.7631450452304
24,0.17170187203507675,0.12668191445501228,1941.504728618421,2560.4910181949012
25,0.16812063126187576,0.12417841741913244,1875.1116493626644,2519.1098247327304
26,0.1657926706891311,0.12307933247403095,1796.1994436163652,2475.1343801398025
27,0.16212233116752223,0.12017544555036645,1748.924072265625,2445.7645970394738
28,0.16199475369955363,0.1207339642079253,1712.1915925678454,2413.887566817434
29,0.15889622663196765,0.11856703773925178,1650.985017475329,2381.9339149876646
30,0.1567401336996179,0.11710486678700698,1610.7149272717927,2352.8119731702304
31,0.154147890837569,0.11539891205335918,1558.337068256579,2316.5611122532896
32,0.15165599082645617,0.1134934727298586,1521.8105725740131,2294.4412392064146
33,0.15111578138251053,0.11342746137004149,1496.4452354029606,2272.38671875
34,0.14858395488638626,0.11164589618381701,1447.0464381167762,2246.7595728824012
35,0.146773404196689,0.11021073946827337,1425.3439234683387,2230.9227744654604
36,0.14494671241233223,0.10905786250766955,1389.0821019222863,2199.8030813116775
37,0.14340933216245552,0.10800563112685554,1358.5862587376644,2181.7838584498354
38,0.1416098310759193,0.10681115482982836,1320.6885729337994,2159.179083573191
39,0.14030165538976067,0.10599756123203981,1289.7482524671052,2140.6611842105262
40,0.13851177221850344,0.10446660887253911,1280.7967079564144,2123.7199000308387
41,0.1369435230368062,0.10339619297730296,1246.2286762438323,2108.5043045847037
42,0.1351669407204578,0.1020736384548639,1222.0859696237665,2087.2444618626646
43,0.13447529822587967,0.10167503396147176,1205.097013774671,2074.929559004934
44,0.1323515808111743,0.09995248051066148,1189.0688990542762,2050.8410965768912
45,0.1311213519228132,0.0989810542056435,1171.1190635279606,2042.9108179995887
46,0.13033991228593023,0.09854999302249205,1151.5882407740544,2027.4037250719573
47,0.1287843204642597,0.0974414105478086,1129.3206915604442,2004.9704011615954
48,0.12724849346436953,0.09626152209545437,1107.7102725380346,1990.9870027240954
49,0.12599692179968483,0.09527442721944106,1089.752675909745,1982.496890419408
50,0.12517955232607691,0.09464907685392782,1085.1104575709294,1967.9371723375823
51,0.12415207020546261,0.09389389110238928,1073.0654361122533,1952.7525185032894
52,0.12381017757089514,0.09377708952677877,1057.4974300986842,1945.8114527652137
53,0.12201787217667229,0.09230898359888479,1040.939019454153,1929.949886924342
54,0.12107383028457039,0.09171736475668456,1020.5773219058389,1915.0693166632402
55,0.11981070473005898,0.09056068368648228,1020.4081324527139,1904.5940391138981
56,0.11921500336182744,0.09031770495991957,997.5521722090872,1892.1777407997533
57,0.11822879432063353,0.08942882834296477,1000.2920403731497,1879.7047183388158
58,0.11669015492263593,0.08838828260961332,962.1822541889392,1868.0051976254113
59,0.11624583641165182,0.08805133794483386,958.2074874074835,1861.2423545435856
60,0.11567829863021248,0.0875260453475149,962.4284860711349,1852.796810752467
61,0.11439789008153112,0.08650120426165431,952.5648932206003,1837.1038432874177
62,0.11346950381994247,0.08586631872152027,934.3173217773438,1826.0012335526317
63,0.11245016949741464,0.08513756057149485,913.5431325812089,1817.7177605879933
64,0.11151974726664393,0.08437023743202812,907.6099660773026,1807.3410130550988
65,0.11091708038982592,0.08392872151575591,903.1254690069901,1795.710513466283
66,0.10991511376280534,0.08319411152287533,883.5656641909951,1788.5346743935033
67,0.10936549776478817,0.08277018760379992,881.0587126079358,1778.4724185341283
68,0.10818673748719065,0.08169986229193837,876.660843698602,1772.0268104954769
69,0.10785881273056332,0.08161685694205134,863.574861225329,1760.620785361842
70,0.10690552349153318,0.0808018296957016,856.1195871453536,1754.2498072574012
71,0.10626224546056044,0.08031503895395681,849.8260080437911,1744.8947946648848
72,0.10514837072083824,0.0795093021894756,832.6092882658306,1731.2976652446546
73,0.10422078284778093,0.07870728875461377,826.5983533357319,1724.7512399773848
